Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
Novice Senior Women + 78kg,FEMALE,15,,78.1,,YELLOW,YELLOW,240,0,480
Novice Senior Women U 48kg,FEMALE,15,,,48,YELLOW,YELLOW,240,0,480
Novice Senior Women U 52kg,FEMALE,15,,48.1,52,YELLOW,YELLOW,240,0,480
Novice Senior Women U 57kg,FEMALE,15,,52.1,57,YELLOW,YELLOW,240,0,480
Novice Senior Women U 63kg,FEMALE,15,,57.1,63,YELLOW,YELLOW,240,0,480
Novice Senior Women U 70kg,FEMALE,15,,63.1,70,YELLOW,YELLOW,240,0,480
Novice Senior Women U 78kg,FEMALE,15,,70.1,78,YELLOW,YELLOW,240,0,480
Senior Boys + 66kg,MALE,12,14,66.1,,,ORANGE,180,0,360
Senior Boys U 36kg,MALE,12,14,,36,,ORANGE,180,0,360
Senior Boys U 40kg,MALE,12,14,36.1,40,,ORANGE,180,0,360
Senior Boys U 45kg,MALE,12,14,40.1,45,,ORANGE,180,0,360
Senior Boys U 50kg,MALE,12,14,45.1,50,,ORANGE,180,0,360
Senior Boys U 55kg,MALE,12,14,50.1,55,,ORANGE,180,0,360
Senior Boys U 60kg,MALE,12,14,55.1,60,,ORANGE,180,0,360
Senior Boys U 66kg,MALE,12,14,60.1,66,,ORANGE,180,0,360
Senior Girls + 63kg,FEMALE,12,14,63.1,,,ORANGE,180,0,360
Senior Girls U 36kg,FEMALE,12,14,32.1,36,,ORANGE,180,0,360
Senior Girls U 40kg,FEMALE,12,14,36.1,40,,ORANGE,180,0,360
Senior Girls U 44kg,FEMALE,12,14,40.1,44,,ORANGE,180,0,360
Senior Girls U 48kg,FEMALE,12,14,44.1,48,,ORANGE,180,0,360
Senior Girls U 52kg,FEMALE,12,14,48.1,52,,ORANGE,180,0,360
Senior Girls U 57kg,FEMALE,12,14,52.1,57,,ORANGE,180,0,360
Senior Girls U 63kg,FEMALE,12,14,57.1,63,,ORANGE,180,0,360
Senior Men +100kg,MALE,15,,100.1,,,ORANGE,240,0,360
Senior Men Open,MALE,15,,,,,ORANGE,240,0,360
Senior Men U 60kg,MALE,15,,,60,,ORANGE,240,0,360
Senior Men U 66kg,MALE,15,,60.1,66,,ORANGE,240,0,360
Senior Men U 73kg,MALE,15,,66.1,73,,ORANGE,240,0,360
Senior Men U 81kg,MALE,15,,73.1,81,,ORANGE,240,0,360
Senior Men U 90kg,MALE,15,,81.1,90,,ORANGE,240,0,360
Senior Men U100kg,MALE,15,,90.1,100,,ORANGE,240,0,360
